crate,run,gen,mir_coverage,covered_targets,tests,tests_length
time,2,12,52.275059869996575,1528,195,34.83076923076923
time,2,13,52.48032842969552,1534,198,34.0959595959596
time,2,14,52.58296270954499,1537,200,34.125
time,2,15,52.925076975709885,1547,205,33.95609756097561
time,0,0,32.32979815258296,945,37,43.67567567567568
time,2,16,53.43824837495723,1562,208,33.52884615384615
time,1,0,32.09031816626754,938,45,44.62222222222222
time,0,1,38.89839206294903,1137,71,42.59154929577465
time,2,17,53.643516934656176,1568,212,33.863207547169814
time,1,1,39.44577488881286,1153,81,44.39506172839506
time,0,2,42.0458433116661,1229,90,40.25555555555555
time,2,18,54.25932261375299,1586,213,33.2112676056338
time,1,2,44.098528908655496,1289,105,43.076190476190476
time,0,3,44.201163188504964,1292,115,39.02608695652174
time,2,19,54.9093397194663,1605,219,33.08675799086758
time,1,3,45.193294560383166,1321,120,41.2
time,0,4,45.91173451932946,1342,133,38.421052631578945
time,2,20,55.148819705781726,1612,225,32.50222222222222
time,1,4,46.424905918576805,1357,135,38.05185185185185
time,0,5,46.69859733150872,1365,143,36.34265734265734
time,2,21,55.31987683886418,1617,226,32.756637168141594
time,1,5,48.06705439616832,1405,148,36.88513513513514
time,0,6,47.38282586383853,1385,155,36.15483870967742
time,2,22,55.42251111871364,1620,223,32.48430493273543
time,1,6,48.95655148819706,1431,156,35.73717948717949
time,0,7,47.998631542935335,1403,166,34.98795180722892
time,2,23,55.42251111871364,1620,227,31.568281938325992
time,1,7,49.98289428669175,1461,170,35.35294117647059
time,0,8,49.60656859391037,1450,172,34.5
time,2,24,55.525145398563126,1623,223,31.349775784753362
time,1,8,51.31713992473487,1500,181,35.6243093922652
time,0,9,50.461854259322614,1475,175,34.62285714285714
time,2,25,55.525145398563126,1623,228,31.00438596491228
time,0,10,50.90660280533699,1488,180,34.02777777777778
time,1,9,51.48819705781731,1505,186,35.10215053763441
time,2,26,55.5935682517961,1625,231,30.896103896103895
time,0,11,51.48819705781731,1505,192,33.598958333333336
time,1,10,52.24084844338008,1527,199,35.21105527638191
time,2,27,55.69620253164557,1628,234,30.867521367521366
time,0,12,51.89873417721519,1517,196,33.33673469387755
time,1,11,52.75401984262744,1542,204,34.65196078431372
time,2,28,55.86725966472802,1633,237,30.89873417721519
time,0,13,52.34348272322956,1530,206,33.320388349514566
time,1,12,52.993499828942866,1549,207,34.10144927536232
time,2,29,55.969893944577485,1636,243,30.80658436213992
time,0,14,52.993499828942866,1549,207,33.033816425120776
time,1,13,53.13034553540883,1553,212,33.4811320754717
time,2,30,55.969893944577485,1636,245,29.718367346938777
time,1,14,53.1987683886418,1555,216,33.416666666666664
time,0,15,53.54088265480671,1565,213,33.183098591549296
time,2,31,56.00410537119398,1637,245,29.36326530612245
time,1,15,53.404036948340746,1561,223,33.57847533632287
time,0,16,53.71193978788915,1570,222,32.91891891891892
time,2,32,56.31200821074239,1646,252,29.706349206349206
time,1,16,53.43824837495723,1562,227,32.797356828193834
time,0,17,53.81457406773863,1573,225,32.09777777777778
time,2,33,56.34621963735887,1647,253,29.52173913043478
time,1,17,53.95141977420459,1577,229,32.698689956331876
time,0,18,54.25932261375299,1586,233,31.965665236051503
time,2,34,56.41464249059186,1649,257,29.260700389105057
time,1,18,54.53301402668491,1594,238,32.47899159663866
time,0,19,54.704071159767366,1599,235,31.697872340425533
time,2,35,56.44885391720835,1650,260,29.226923076923075
time,0,20,54.94355114608279,1606,238,31.01260504201681
time,1,19,54.704071159767366,1599,243,31.88888888888889
time,0,33,56.24358535750941,1644,265,28.535849056603773
time,1,33,56.2777967841259,1645,276,29.55072463768116
time,2,49,57.30413958262059,1675,280,28.92142857142857
time,0,34,56.2777967841259,1645,265,28.19622641509434
time,1,34,56.51727677044133,1652,273,29.054945054945055
time,2,50,57.30413958262059,1675,279,28.831541218637994
time,0,35,56.31200821074239,1646,268,28.190298507462686
time,1,35,56.790968183373245,1660,273,29.146520146520146
time,2,51,57.37256243585358,1677,281,28.864768683274022
time,0,36,56.31200821074239,1646,270,28.11111111111111
time,1,36,56.82517960998974,1661,276,28.757246376811594
time,2,52,57.440985289086555,1679,279,28.75627240143369
time,0,37,56.34621963735887,1647,274,27.985401459854014
time,1,37,56.82517960998974,1661,277,28.67870036101083
time,2,53,57.440985289086555,1679,279,28.7168458781362
time,0,38,56.48306534382483,1651,274,27.861313868613138
time,1,38,56.92781388983921,1664,279,28.516129032258064
time,2,54,57.440985289086555,1679,280,28.62142857142857
time,0,39,56.51727677044133,1652,276,27.757246376811594
time,1,39,56.9620253164557,1665,279,28.526881720430108
time,2,55,57.440985289086555,1679,281,28.565836298932386
time,0,40,56.51727677044133,1652,278,27.676258992805757
time,1,40,56.9620253164557,1665,280,28.292857142857144
time,2,56,57.440985289086555,1679,282,28.372340425531913
time,0,41,56.51727677044133,1652,279,27.591397849462364
time,1,41,56.9620253164557,1665,280,28.275
time,2,57,57.47519671570305,1680,283,28.593639575971732
time,0,42,56.51727677044133,1652,277,27.537906137184116
time,1,42,56.9620253164557,1665,280,28.142857142857142
time,2,58,57.612042422169004,1684,283,28.568904593639576
time,0,43,56.585699623674316,1654,282,27.5531914893617
time,1,43,57.06465959630517,1668,285,27.905263157894737
time,2,59,57.612042422169004,1684,282,28.51418439716312
time,0,44,56.619911050290796,1655,281,27.487544483985765
time,1,44,57.06465959630517,1668,285,27.842105263157894
time,2,60,57.612042422169004,1684,285,28.431578947368422
time,0,45,56.619911050290796,1655,279,27.39426523297491
time,1,45,57.13308244953814,1670,286,27.842657342657343
time,2,61,57.612042422169004,1684,288,28.30902777777778
time,0,46,56.65412247690729,1656,278,27.467625899280577
time,1,46,57.13308244953814,1670,286,27.744755244755243
time,2,62,57.680465275401986,1686,287,28.54355400696864
time,0,47,56.68833390352378,1657,281,27.341637010676155
time,1,47,57.23571672938762,1673,290,27.744827586206895
time,2,63,57.680465275401986,1686,287,28.418118466898953
time,0,48,56.68833390352378,1657,282,27.23404255319149
time,1,48,57.23571672938762,1673,290,27.66551724137931
time,2,64,57.680465275401986,1686,287,28.418118466898953
time,1,49,57.33835100923709,1676,292,27.58219178082192
time,0,49,56.99623674307218,1666,283,27.21201413427562
time,2,65,57.74888812863497,1688,288,28.274305555555557
time,1,50,57.33835100923709,1676,293,27.511945392491466
time,0,50,56.99623674307218,1666,286,27.115384615384617
time,2,66,57.74888812863497,1688,290,28.162068965517243
time,1,51,57.40677386247006,1678,288,27.319444444444443
time,0,51,56.99623674307218,1666,288,27.083333333333332
time,2,67,57.78309955525145,1689,291,28.15807560137457
time,1,52,57.40677386247006,1678,288,27.26736111111111
time,2,68,57.78309955525145,1689,292,28.068493150684933
time,0,52,56.99623674307218,1666,289,27.093425605536332
time,1,53,57.40677386247006,1678,287,27.205574912891986
time,2,69,57.78309955525145,1689,292,27.972602739726028
time,0,53,56.99623674307218,1666,289,27.058823529411764
time,1,54,57.40677386247006,1678,288,27.15625
time,2,70,57.78309955525145,1689,296,27.70945945945946
time,0,54,56.99623674307218,1666,290,26.913793103448278
time,1,55,57.47519671570305,1680,288,27.14236111111111
time,2,71,57.78309955525145,1689,296,27.60472972972973
time,0,55,56.99623674307218,1666,292,26.815068493150687
time,1,56,57.50940814231954,1681,291,27.10996563573883
time,2,72,57.78309955525145,1689,294,27.591836734693878
time,0,56,56.99623674307218,1666,292,26.791095890410958
time,1,57,57.50940814231954,1681,288,26.930555555555557
time,2,73,57.78309955525145,1689,293,27.51877133105802
time,0,57,56.99623674307218,1666,292,26.60958904109589
time,1,58,57.50940814231954,1681,286,26.81118881118881
time,0,58,57.06465959630517,1668,293,26.67235494880546
time,2,74,57.78309955525145,1689,293,27.488054607508534
time,1,59,57.50940814231954,1681,286,26.67132867132867
time,0,59,57.06465959630517,1668,293,26.61774744027304
time,2,75,57.78309955525145,1689,292,27.40753424657534
time,1,60,57.50940814231954,1681,289,26.55017301038062
time,0,60,57.06465959630517,1668,294,26.608843537414966
time,2,76,57.78309955525145,1689,293,27.22184300341297
time,1,61,57.50940814231954,1681,288,26.555555555555557
time,0,61,57.06465959630517,1668,292,26.534246575342465
time,2,77,57.78309955525145,1689,293,26.62457337883959
time,1,62,57.57783099555252,1683,288,26.430555555555557
time,0,62,57.06465959630517,1668,290,26.427586206896553
time,2,78,57.78309955525145,1689,293,26.484641638225256
time,1,63,57.57783099555252,1683,290,26.379310344827587
time,0,63,57.06465959630517,1668,290,26.26551724137931
time,2,79,57.78309955525145,1689,294,26.496598639455783
time,1,64,57.57783099555252,1683,294,26.231292517006803
time,0,64,57.23571672938762,1673,288,26.256944444444443
time,2,80,57.78309955525145,1689,295,26.484745762711864
time,1,65,57.64625384878549,1685,297,26.198653198653197
time,0,65,57.23571672938762,1673,289,26.121107266435985
time,2,81,57.78309955525145,1689,291,26.216494845360824
time,1,66,57.64625384878549,1685,299,26.066889632107024
time,0,66,57.23571672938762,1673,290,26.086206896551722
time,2,82,57.78309955525145,1689,291,26.02405498281787
time,1,67,57.64625384878549,1685,301,26.033222591362126
time,0,67,57.23571672938762,1673,290,25.958620689655174
