crate,run,gen,mir_coverage,covered_targets,tests,tests_length
time,0,30,53.917208347588094,1576,261,35.35632183908046
time,2,30,54.25932261375299,1586,267,37.42322097378277
time,1,32,54.66985973315087,1598,264,35.96969696969697
time,0,31,53.917208347588094,1576,261,35.32567049808429
time,2,31,54.43037974683544,1591,269,37.561338289962826
time,1,33,54.66985973315087,1598,264,35.96969696969697
time,0,32,53.95141977420459,1577,261,35.45977011494253
time,2,32,54.43037974683544,1591,269,37.19702602230483
time,1,34,54.77249401300034,1601,267,36.02247191011236
time,0,33,54.088265480670536,1581,264,35.78030303030303
time,2,33,54.43037974683544,1591,269,37.16728624535316
time,1,35,54.77249401300034,1601,267,35.943820224719104
time,0,34,54.088265480670536,1581,264,35.76893939393939
time,2,34,54.43037974683544,1591,269,37.141263940520446
time,1,36,54.77249401300034,1601,268,35.91417910447761
time,0,35,54.12247690728703,1582,265,35.864150943396226
time,2,35,54.498802600068416,1593,271,37.38376383763838
time,0,36,54.2251111871365,1585,268,35.83955223880597
time,1,37,54.84091686623332,1603,270,36.03703703703704
time,2,36,54.498802600068416,1593,272,37.3125
time,0,37,54.2251111871365,1585,268,35.82835820895522
time,1,38,54.87512829284981,1604,271,36.07011070110701
time,2,37,54.704071159767366,1599,275,37.52363636363636
time,0,38,54.29353404036949,1587,270,35.77407407407407
time,1,39,54.9093397194663,1605,272,36.150735294117645
time,0,39,54.43037974683544,1591,272,35.87867647058823
time,2,38,54.704071159767366,1599,275,37.512727272727275
time,1,40,55.011973999315764,1608,273,36.10989010989011
time,0,40,54.498802600068416,1593,274,36.1021897810219
time,2,39,54.84091686623332,1603,278,36.6294964028777
time,1,41,55.011973999315764,1608,273,36.10989010989011
time,0,41,54.498802600068416,1593,274,36.09124087591241
time,0,42,54.66985973315087,1598,277,36.51263537906137
time,1,42,55.114608279165246,1611,274,36.2043795620438
time,2,40,55.011973999315764,1608,281,36.98220640569395
time,0,43,54.704071159767366,1599,277,36.501805054151625
time,1,43,55.114608279165246,1611,272,36.231617647058826
time,2,41,55.148819705781726,1612,283,37.11660777385159
time,0,44,54.704071159767366,1599,278,36.435251798561154
time,2,42,55.148819705781726,1612,283,36.78445229681979
time,1,44,55.18303113239822,1613,274,36.306569343065696
time,0,45,54.704071159767366,1599,278,36.435251798561154
time,2,43,55.148819705781726,1612,283,36.734982332155475
time,1,45,55.18303113239822,1613,274,36.22992700729927
time,0,46,54.704071159767366,1599,278,36.42086330935252
time,2,44,55.148819705781726,1612,284,36.67605633802817
time,1,46,55.18303113239822,1613,274,36.22627737226277
time,0,47,54.84091686623332,1603,279,36.54838709677419
time,2,45,55.148819705781726,1612,284,36.647887323943664
time,1,47,55.18303113239822,1613,275,36.03272727272727
time,0,48,54.84091686623332,1603,279,36.51971326164875
time,2,46,55.148819705781726,1612,285,36.63508771929825
time,1,48,55.2514539856312,1615,278,36.41726618705036
time,0,49,54.84091686623332,1603,279,36.483870967741936
time,2,47,55.18303113239822,1613,286,36.6013986013986
time,1,49,55.2514539856312,1615,279,36.401433691756274
time,0,50,54.87512829284981,1604,280,36.503571428571426
time,2,48,55.18303113239822,1613,286,36.41958041958042
time,1,50,55.2514539856312,1615,279,36.369175627240146
time,0,51,54.9093397194663,1605,281,36.5338078291815
time,2,49,55.31987683886418,1617,287,36.56445993031359
time,1,51,55.2514539856312,1615,279,36.369175627240146
time,0,52,54.94355114608279,1606,282,36.691489361702125
time,2,50,55.42251111871364,1620,289,36.78546712802768
time,1,52,55.2514539856312,1615,280,36.339285714285715
time,0,53,54.94355114608279,1606,283,36.67491166077738
time,1,53,55.28566541224769,1616,281,36.36654804270463
time,2,51,55.42251111871364,1620,290,36.710344827586205
time,0,54,54.94355114608279,1606,283,36.67491166077738
time,1,54,55.28566541224769,1616,282,36.322695035460995
time,2,52,55.5935682517961,1625,292,36.98287671232877
time,0,55,55.011973999315764,1608,284,36.92253521126761
time,1,55,55.35408826548067,1618,283,36.4452296819788
time,2,53,55.69620253164557,1628,292,36.955479452054796
time,0,56,55.011973999315764,1608,284,36.92253521126761
time,1,56,55.35408826548067,1618,281,36.45907473309609
time,2,54,55.69620253164557,1628,292,36.88356164383562
time,0,57,55.011973999315764,1608,284,36.92253521126761
time,1,57,55.42251111871364,1620,282,36.5531914893617
time,2,55,55.69620253164557,1628,291,36.75257731958763
time,0,58,55.04618542593226,1609,285,37.03508771929825
time,1,58,55.42251111871364,1620,283,36.42756183745583
time,2,56,55.69620253164557,1628,291,36.75257731958763
time,0,59,55.04618542593226,1609,287,37.1219512195122
time,1,59,55.49093397194663,1622,284,36.485915492957744
time,2,57,55.69620253164557,1628,291,36.68041237113402
time,0,60,55.04618542593226,1609,287,37.09059233449477
time,1,60,55.5935682517961,1625,285,36.526315789473685
time,2,58,55.73041395826206,1629,290,36.66896551724138
time,1,61,55.5935682517961,1625,285,36.49473684210526
time,0,61,55.04618542593226,1609,287,37.08710801393728
time,2,59,55.73041395826206,1629,290,36.644827586206894
time,1,62,55.627779678412594,1626,286,36.61188811188811
time,0,62,55.08039685254875,1610,288,37.201388888888886
time,1,63,55.627779678412594,1626,287,36.46689895470383
time,2,60,55.73041395826206,1629,291,36.56701030927835
time,0,63,55.08039685254875,1610,288,37.201388888888886
time,1,64,55.69620253164557,1628,288,36.49652777777778
time,2,61,55.73041395826206,1629,292,36.56164383561644
time,0,64,55.08039685254875,1610,288,37.19444444444444
time,1,65,55.69620253164557,1628,289,36.522491349480966
time,2,62,55.73041395826206,1629,292,36.554794520547944
time,0,65,55.08039685254875,1610,288,37.19444444444444
time,1,66,55.83304823811153,1632,290,36.54137931034483
time,0,66,55.08039685254875,1610,287,37.142857142857146
time,2,63,55.73041395826206,1629,292,36.554794520547944
time,0,67,55.08039685254875,1610,287,37.13937282229965
time,2,64,55.83304823811153,1632,293,36.67918088737201
time,1,67,55.83304823811153,1632,290,36.54137931034483
time,0,68,55.08039685254875,1610,286,37.11538461538461
time,1,68,55.93568251796099,1635,291,36.6254295532646
time,2,65,55.83304823811153,1632,294,36.69387755102041
time,0,69,55.08039685254875,1610,286,37.11538461538461
time,1,69,55.93568251796099,1635,291,36.6254295532646
time,2,66,55.83304823811153,1632,294,36.62244897959184
time,0,70,55.148819705781726,1612,285,37.10526315789474
time,2,67,55.90147109134451,1634,295,36.735593220338984
time,1,70,56.14095107765994,1641,292,36.72260273972603
time,0,71,55.217242559014714,1614,286,36.98951048951049
time,1,71,56.14095107765994,1641,293,36.69283276450512
time,0,72,55.217242559014714,1614,286,36.98951048951049
time,2,68,55.90147109134451,1634,295,36.735593220338984
time,1,72,56.14095107765994,1641,293,36.689419795221845
time,0,73,55.2514539856312,1615,287,37.09756097560975
time,2,69,55.90147109134451,1634,295,36.735593220338984
time,0,74,55.2514539856312,1615,287,37.02787456445993
time,1,73,56.14095107765994,1641,293,36.67235494880546
time,2,70,55.93568251796099,1635,297,36.75084175084175
time,0,75,55.2514539856312,1615,287,37.02787456445993
time,1,74,56.209373930892916,1643,294,36.7108843537415
