crate,run,gen,mir_coverage,covered_targets,tests,tests_length
time,4,0,31.098186794389328,909,44,42.61363636363637
time,3,60,51.24871707150188,1498,245,50.66938775510204
time,5,1,34.006158056790966,994,59,45.355932203389834
time,4,1,32.26137529934998,943,56,41.55357142857143
time,1,63,49.74341430037633,1454,209,47.6267942583732
time,6,2,36.19568936024633,1058,68,42.088235294117645
time,2,64,50.56448853917208,1478,224,46.3125
time,5,2,35.169346561751624,1028,68,45.35294117647059
time,4,2,33.45877523092713,978,63,42.523809523809526
time,0,66,50.53027711255559,1477,224,53.94642857142857
time,3,61,51.24871707150188,1498,246,50.077235772357724
time,6,3,39.47998631542936,1154,83,45.397590361445786
time,5,3,36.46938077317824,1066,82,46.51219512195122
time,4,3,36.09305508039685,1055,73,45.945205479452056
time,2,65,50.598699965788576,1479,227,46.215859030837
time,1,64,49.74341430037633,1454,210,47.7952380952381
time,6,4,40.403694834074585,1181,91,47.38461538461539
time,5,4,38.00889497092029,1111,89,48.20224719101124
time,3,62,51.24871707150188,1498,246,50.077235772357724
time,0,67,50.63291139240506,1480,226,54.924778761061944
time,4,4,36.9483407458091,1080,83,46.86746987951807
time,6,5,40.84844338008895,1194,98,47.89795918367347
time,2,66,50.66712281902155,1481,227,46.25550660792952
time,5,5,38.453643516934655,1124,94,48.680851063829785
time,4,5,37.76941498460486,1104,91,47.494505494505496
time,1,65,49.880260006842285,1458,211,47.86255924170616
time,6,6,41.32740335271981,1208,104,48.36538461538461
time,3,63,51.24871707150188,1498,248,50.01209677419355
time,0,68,50.66712281902155,1481,227,54.502202643171806
time,5,6,39.17208347588094,1145,102,47.529411764705884
time,4,6,38.31679781046869,1120,99,47.17171717171717
time,2,67,50.838179952104,1486,228,46.478070175438596
time,6,7,41.60109476565172,1216,106,47.93396226415094
time,1,66,49.880260006842285,1458,211,47.86255924170616
time,5,7,39.54840916866233,1156,109,48.80733944954128
time,4,7,38.79575778309955,1134,102,48.411764705882355
time,3,64,51.24871707150188,1498,248,49.96774193548387
time,6,8,41.87478617858365,1224,112,48.767857142857146
time,0,69,50.66712281902155,1481,227,54.48898678414097
time,2,68,51.04344851180295,1492,229,46.633187772925766
time,5,8,40.02736914129319,1170,117,46.76923076923077
time,4,8,39.411563462196376,1152,107,49.205607476635514
time,1,67,49.98289428669175,1461,211,47.66350710900474
time,6,9,42.319534724598014,1237,116,47.39655172413793
time,3,65,51.24871707150188,1498,248,49.95967741935484
time,5,9,40.403694834074585,1181,119,46.05882352941177
time,0,70,50.66712281902155,1481,227,54.48898678414097
time,4,9,39.582620595278826,1157,108,50.53703703703704
time,2,69,51.04344851180295,1492,229,46.46288209606987
time,6,10,42.76428327061239,1250,119,48.378151260504204
time,1,68,50.22237427300718,1468,212,47.66981132075472
